row_index,customerID,column,original_value,corrupted_value,issue_type,expected_action
5238,7841-FCRQD,gender,Female,Female ,leading/trailing whitespace,auto
912,3865-YIOTT,gender,Male,Male ,leading/trailing whitespace,auto
204,9142-KZXOP,gender,Male, Male ,leading/trailing whitespace,auto
6074,3797-VTIDR,gender,Male, Male ,leading/trailing whitespace,auto
2253,0336-PIKEI,gender,Male,Male ,leading/trailing whitespace,auto
2006,0224-HJAPT,gender,Male, Male ,leading/trailing whitespace,auto
1828,1839-UMACK,gender,Male, Male ,leading/trailing whitespace,auto
1143,2446-ZKVAF,gender,Male,Male ,leading/trailing whitespace,auto
6033,6595-YGXIT,gender,Male,Male ,leading/trailing whitespace,auto
839,4625-LAMOB,gender,Male, Male,leading/trailing whitespace,auto
5543,6646-JPPHA,gender,Female, Female ,leading/trailing whitespace,auto
6067,1397-XKKWR,gender,Male, Male,leading/trailing whitespace,auto
4467,0667-NSRGI,gender,Female, Female,leading/trailing whitespace,auto
712,9661-JALZV,gender,Female,Female ,leading/trailing whitespace,auto
4837,5134-IKDAY,gender,Female, Female ,leading/trailing whitespace,auto
3456,0436-TWFFZ,gender,Female, Female ,leading/trailing whitespace,auto
260,7273-TEFQD,gender,Male, Male ,leading/trailing whitespace,auto
244,4522-AKYLR,gender,Female, Female ,leading/trailing whitespace,auto
767,7817-OMJNA,gender,Male, Male ,leading/trailing whitespace,auto
1791,2348-KCJLT,gender,Female, Female ,leading/trailing whitespace,auto
1905,1022-RKXDR,gender,Female, Female ,leading/trailing whitespace,auto
4139,7278-CKDNC,gender,Male,Male ,leading/trailing whitespace,auto
4931,4298-OYIFC,gender,Male, Male ,leading/trailing whitespace,auto
217,0230-WEQUW,gender,Male, Male ,leading/trailing whitespace,auto
4597,3440-JPSCL,gender,Female, Female ,leading/trailing whitespace,auto
1628,6267-DCFFZ,gender,Female,Female ,leading/trailing whitespace,auto
5865,2621-UDNLU,gender,Female,Female ,leading/trailing whitespace,auto
5323,1448-CYWKC,gender,Female,Female ,leading/trailing whitespace,auto
5745,3580-GICBM,gender,Female, Female ,leading/trailing whitespace,auto
4464,3018-TFTSU,gender,Male,Male ,leading/trailing whitespace,auto
3436,0428-AXXLJ,gender,Male,Male ,leading/trailing whitespace,auto
1805,7860-KSUGX,gender,Male, Male,leading/trailing whitespace,auto
3679,1240-KNSEZ,gender,Male, Male ,leading/trailing whitespace,auto
4827,9560-ARGQJ,gender,Female, Female ,leading/trailing whitespace,auto
2278,0015-UOCOJ,gender,Female, Female ,leading/trailing whitespace,auto
2193,6922-NCEDI,Partner,No, No,leading/trailing whitespace,auto
542,2866-IKBTM,Partner,No, No ,leading/trailing whitespace,auto
1728,8345-MVDYC,Partner,No, No ,leading/trailing whitespace,auto
4646,5032-MIYKT,Partner,No, No ,leading/trailing whitespace,auto
5881,3229-USWAR,Partner,No,No ,leading/trailing whitespace,auto
2577,4910-GMJOT,Partner,No, No,leading/trailing whitespace,auto
1741,0106-GHRQR,Partner,No, No ,leading/trailing whitespace,auto
5369,9860-LISIZ,Partner,No,No ,leading/trailing whitespace,auto
4089,4282-YMKNA,Partner,No,No ,leading/trailing whitespace,auto
3241,3148-BLQJT,Partner,No,No ,leading/trailing whitespace,auto
5266,2027-DNKIV,Partner,Yes, Yes ,leading/trailing whitespace,auto
3758,8885-QSQBX,Partner,No, No ,leading/trailing whitespace,auto
1170,9127-FHJBZ,Partner,Yes, Yes,leading/trailing whitespace,auto
2169,6418-PIQSP,Partner,Yes, Yes ,leading/trailing whitespace,auto
1143,2446-ZKVAF,Partner,Yes,Yes ,leading/trailing whitespace,auto
2020,2546-KZAAT,Partner,Yes, Yes,leading/trailing whitespace,auto
6102,9795-NREXC,Partner,Yes, Yes ,leading/trailing whitespace,auto
4598,4929-ROART,Partner,No,No ,leading/trailing whitespace,auto
4415,0420-TXVSG,Partner,Yes, Yes ,leading/trailing whitespace,auto
2152,0248-IPDFW,Partner,No,No ,leading/trailing whitespace,auto
6119,0080-EMYVY,Partner,No,No ,leading/trailing whitespace,auto
4788,9102-OXKFY,Partner,No, No ,leading/trailing whitespace,auto
3509,8710-YGLWG,Partner,No, No ,leading/trailing whitespace,auto
4780,5895-QSXOD,Partner,No, No ,leading/trailing whitespace,auto
